model_name,accuracy,f1_score,weighted_precision,weighted_recall,area_under_roc
Logistic Regression Existing,0.8794642857142857,0.8794492156898319,0.879749792358804,0.8794642857142857,0.9423792898466791
Naive Bayes,0.833299512987013,0.8332812767898412,0.8333870422049525,0.833299512987013,0.5723415328709534
Gradient Boosted Trees Classifier,0.7340706168831169,0.7318896025769978,0.7413972886086554,0.7340706168831168,0.8187373830461087
Random Forest Classifier,0.710734577922078,0.7028814102005578,0.7367293590231059,0.710734577922078,0.80141138994689
Decision Tree Classifier,0.6114042207792207,0.5691085525165913,0.6807325868311824,0.6114042207792207,0.5157265965388038
